sep=\t
Module Resource Usage Distribution Estimates
Generated at: Sep 02, 2026 08:28:06

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	          FFs	      SRLs	       ADDs	         LUTs	    COMB4s	      RAMs	 DSP/MULTs
      +linebuffer_sdpram[2].sdpram:simple_dual_ported_ram(DATA_WIDTH=24)	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     3(3)	     0(0)	
      +linebuffer_sdpram[3].sdpram:simple_dual_ported_ram(DATA_WIDTH=24)	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     2(2)	     0(0)	
    +ccm_inst:ccm(S_AXIS_DATA_WIDTH=72,M_AXIS_DATA_WIDTH=72)	    404(404)	     0(0)	  192(192)	      53(53)	     0(0)	     0(0)	     9(9)	
    +skidbuffer2_inst:skidbuffer(DATA_WIDTH=72)             	      76(76)	     0(0)	      0(0)	      43(43)	     0(0)	     0(0)	     0(0)	
    +gamma_inst:gamma(LUT_FILE="lut.mem")                   	      98(26)	     0(0)	      0(0)	       13(1)	     0(0)	    12(0)	     0(0)	
     +gamma_r_inst:lut(PIXEL_PER_CYCLE=2,LUT_FILE="lut.mem")	      26(26)	     0(0)	      0(0)	        4(4)	     0(0)	     4(0)	     0(0)	
      +lut_rom1_inst:simple_dual_ported_rom(DATA_WIDTH=8,ADDR_WIDTH=12,MEM_FILE="lut.mem")	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     4(4)	     0(0)	
     +gamma_b_inst:lut(PIXEL_PER_CYCLE=2,LUT_FILE="lut.mem")	      23(23)	     0(0)	      0(0)	        4(4)	     0(0)	     4(0)	     0(0)	
      +lut_rom1_inst:simple_dual_ported_rom(DATA_WIDTH=8,ADDR_WIDTH=12,MEM_FILE="lut.mem")	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     4(4)	     0(0)	
     +gamma_g_inst:lut(PIXEL_PER_CYCLE=2,LUT_FILE="lut.mem")	      23(23)	     0(0)	      0(0)	        4(4)	     0(0)	     4(0)	     0(0)	
      +lut_rom1_inst:simple_dual_ported_rom(DATA_WIDTH=8,ADDR_WIDTH=12,MEM_FILE="lut.mem")	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     4(4)	     0(0)	
    +skidbuffer3_inst:skidbuffer(DATA_WIDTH=48)             	      26(26)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
  +u_cam_crop:cam_crop(P_DEPTH=16,X_START=210,X_WIN=540,Y_WIN=1080)	      85(85)	     0(0)	    11(11)	      61(61)	     0(0)	     0(0)	     0(0)	
  +u_cam_downscaling:scale_down_2x_nn                       	      74(74)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
  +u_rgb2gray:cam_rgb2gray(DATA_WIDTH=8)                    	        0(0)	     0(0)	    226(0)	        0(0)	     0(0)	     0(0)	     0(0)	
   +genblk1[0].u_rgb2gray_1PPC:rgb2gray_1PPC(DATA_WIDTH=8)  	        0(0)	     0(0)	  113(113)	        0(0)	     0(0)	     0(0)	     0(0)	
   +genblk1[1].u_rgb2gray_1PPC:rgb2gray_1PPC(DATA_WIDTH=8)  	        0(0)	     0(0)	  113(113)	        0(0)	     0(0)	     0(0)	     0(0)	
  +u_cam_dma_fifo:cam_dma_fifo                              	       36(0)	     0(0)	     21(0)	        9(0)	     0(0)	     5(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_b0792a13d328448586f08ea7d102f373(FAMILY="",SYNC_CLK=1,MODE="FWFT",DEPTH=1024,DATA_WIDTH=48,PIPELINE_REG=0,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=512,PROG_FULL_NEGATE=512,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=2,PROG_EMPTY_NEGATE=3)	       36(0)	     0(0)	     21(0)	        9(0)	     0(0)	     5(0)	     0(0)	
    +genblk2.efx_resetsync_a_rst:efx_resetsync_b0792a13d328448586f08ea7d102f373(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_b0792a13d328448586f08ea7d102f373(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_b0792a13d328448586f08ea7d102f373(FAMILY="",WR_DEPTH=1024,RD_DEPTH=1024,WDATA_WIDTH=48,RDATA_WIDTH=48,WADDR_WIDTH=10,RADDR_WIDTH=10,OUTPUT_REG=0,RAM_MUX_RATIO=1)	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     5(5)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_b0792a13d328448586f08ea7d102f373(MODE="FWFT",WR_DEPTH=1024,WADDR_WIDTH=10,RADDR_WIDTH=10,PIPELINE_REG=0,PROG_FULL_ASSERT=512,PROG_FULL_NEGATE=512,PROG_EMPTY_ASSERT=2,PROG_EMPTY_NEGATE=3,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	      34(34)	     0(0)	    21(21)	        9(9)	     0(0)	     0(0)	     0(0)	
 +u_panel_config:panel_config(INITIAL_CODE="source/display/dsi/dsi_panel_1080p_reg.mem")	      96(96)	     0(0)	    21(21)	    163(163)	     0(0)	     4(0)	     0(0)	
  +inst_piv2_reg:common_true_dual_port_ram(DATA_WIDTH=40,WRITE_MODE_1="WRITE_FIRST",WRITE_MODE_2="WRITE_FIRST",OUTPUT_REG_1="TRUE",OUTPUT_REG_2="TRUE",RAM_INIT_FILE="source/display/dsi/dsi_panel_1080p_reg.mem")	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     4(4)	     0(0)	
 +u_display:display_dsi(FRAME_WIDTH=540,FRAME_HEIGHT=540)   	    338(152)	     0(0)	   173(80)	    287(118)	     0(0)	     8(0)	     0(0)	
  +u_vga_gen:vga_gen(H_SyncPulse=32'b0110010,H_BackPorch=32'b0110010,H_ActivePix=32'b01000011100,H_FrontPorch=32'b01100100,V_SyncPulse=10'b011,V_BackPorch=10'b0101,V_ActivePix=12'b011110000000,V_FrontPorch=10'b0110)	      85(85)	     0(0)	    45(45)	      60(60)	     0(0)	     0(0)	     0(0)	
  +u_display_upscaling:scale_up_2x_nn                       	      72(72)	     0(0)	    16(16)	      91(91)	     0(0)	     3(0)	     0(0)	
   +u_display_scale_up_ram:common_simple_dual_port_ram(DATA_WIDTH=48,OUTPUT_REG="FALSE")	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     3(3)	     0(0)	
  +u_display_dma_fifo:display_dma_fifo                      	       29(0)	     0(0)	     32(0)	       18(0)	     0(0)	     5(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_0ebd061cc55a4cdb9867e4fd870758a2(FAMILY="",SYNC_CLK=1,DEPTH=1024,DATA_WIDTH=48,PIPELINE_REG=0,OUTPUT_REG=1,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=512,PROG_FULL_NEGATE=512,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=2,PROG_EMPTY_NEGATE=3)	       29(0)	     0(0)	     32(0)	       18(0)	     0(0)	     5(0)	     0(0)	
    +genblk2.efx_resetsync_a_rst:efx_resetsync_0ebd061cc55a4cdb9867e4fd870758a2(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_0ebd061cc55a4cdb9867e4fd870758a2(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_0ebd061cc55a4cdb9867e4fd870758a2(FAMILY="",WR_DEPTH=1024,RD_DEPTH=1024,WDATA_WIDTH=48,RDATA_WIDTH=48,WADDR_WIDTH=10,RADDR_WIDTH=10,RAM_MUX_RATIO=1)	        1(1)	     0(0)	      0(0)	        1(1)	     0(0)	     5(5)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_0ebd061cc55a4cdb9867e4fd870758a2(WR_DEPTH=1024,WADDR_WIDTH=10,RADDR_WIDTH=10,PIPELINE_REG=0,PROG_FULL_ASSERT=512,PROG_FULL_NEGATE=512,PROG_EMPTY_ASSERT=2,PROG_EMPTY_NEGATE=3,OUTPUT_REG=1,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	      26(26)	     0(0)	    32(32)	      17(17)	     0(0)	     0(0)	     0(0)	
 +u_dsi_tx_display:dsi_tx_display                           	     1954(0)	     0(0)	    488(0)	     3412(0)	     0(0)	    25(0)	     0(0)	
  +u_efx_dsi_tx:efx_dsi_tx_98c52b03a74a4ce095debab75db1d287(tLPX_NS=60,tCLK_ZERO_NS=280,tCLK_TRAIL_NS=100,tCLK_POST_NS=100,tCLK_PREPARE_NS=50,tHS_PREPARE_NS=50,tHS_EXIT_NS=120,tHS_ZERO_NS=200,tHS_TRAIL_NS=65,PACK_TYPE=1,ENABLE_V_LPM_BTA=1'b0,HS_CMD_WDATAFIFO_DEPTH=512,LP_CMD_WDATAFIFO_DEPTH=512,LP_CMD_RDATAFIFO_DEPTH=2048,ENABLE_BIDIR=1'b1,ENABLE_EOTP=1'b0)	     1954(0)	     0(0)	    488(0)	     3412(0)	     0(0)	    25(0)	     0(0)	
   +dphy_bidir_tx_inst:efx_dphy_bidir_tx_98c52b03a74a4ce095debab75db1d287(tLPX_NS=60,tCLK_ZERO_NS=280,tCLK_TRAIL_NS=100,tCLK_POST_NS=100,tCLK_PREPARE_NS=50,tHS_PREPARE_NS=50,tHS_EXIT_NS=120,tHS_ZERO_NS=200,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125,ENABLE_BIDIR=1'b1)	      340(1)	     0(0)	    131(0)	      869(8)	     0(0)	     0(0)	     0(0)	
    +enter_hs_xfer_1:efx_asyncreg_98c52b03a74a4ce095debab75db1d287	        8(8)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
    +enter_hs_xfer_2:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
    +tx_clane_fsm_inst:dphy_tx_clane_fsm_98c52b03a74a4ce095debab75db1d287(tLPX_NS=60,tCLK_ZERO_NS=280,tCLK_TRAIL_NS=100,tCLK_POST_NS=100,tCLK_PREPARE_NS=50,tHS_EXIT_NS=120,HS_BYTECLK_MHZ=125)	      39(22)	     0(0)	     18(9)	      73(35)	     0(0)	     0(0)	     0(0)	
     +tx_hs_c_fsm_inst:dphy_tx_hs_c_fsm_98c52b03a74a4ce095debab75db1d287(tCLK_ZERO_NS=280,tCLK_TRAIL_NS=100,tCLK_POST_NS=100,HS_BYTECLK_MHZ=125)	      17(17)	     0(0)	      9(9)	      38(38)	     0(0)	     0(0)	     0(0)	
    +genblk2.bidir_tx_dlane_fsm_inst:dphy_bidir_tx_dlane_fsm_98c52b03a74a4ce095debab75db1d287(tLPX_NS=60,tHS_PREPARE_NS=50,tHS_EXIT_NS=120,tHS_ZERO_NS=200,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125)	      93(69)	     0(0)	    38(29)	    263(211)	     0(0)	     0(0)	     0(0)	
     +tx_hs_d_fsm_inst:dphy_tx_hs_d_fsm_98c52b03a74a4ce095debab75db1d287(tHS_ZERO_NS=200,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125)	      24(24)	     0(0)	      9(9)	      52(52)	     0(0)	     0(0)	     0(0)	
    +genblk2.bidir_rx_dlane_fsm_inst:dphy_bidir_rx_dlane_fsm_98c52b03a74a4ce095debab75db1d287(tLPX_NS=60,HS_BYTECLK_MHZ=125)	      36(36)	     0(0)	    12(12)	    125(125)	     0(0)	     0(0)	     0(0)	
    +genblk2.genblk1[1].tx_dlane_fsm_inst:dphy_tx_dlane_fsm_98c52b03a74a4ce095debab75db1d287(tLPX_NS=60,tHS_PREPARE_NS=50,tHS_EXIT_NS=120,tHS_ZERO_NS=200,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125)	      53(29)	     0(0)	    21(12)	     134(88)	     0(0)	     0(0)	     0(0)	
     +tx_hs_d_fsm_inst:dphy_tx_hs_d_fsm_98c52b03a74a4ce095debab75db1d287(tHS_ZERO_NS=200,tHS_EXIT_NS=120,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125)	      24(24)	     0(0)	      9(9)	      46(46)	     0(0)	     0(0)	     0(0)	
    +genblk2.genblk1[2].tx_dlane_fsm_inst:dphy_tx_dlane_fsm_98c52b03a74a4ce095debab75db1d287(tLPX_NS=60,tHS_PREPARE_NS=50,tHS_EXIT_NS=120,tHS_ZERO_NS=200,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125)	      53(29)	     0(0)	    21(12)	     132(86)	     0(0)	     0(0)	     0(0)	
     +tx_hs_d_fsm_inst:dphy_tx_hs_d_fsm_98c52b03a74a4ce095debab75db1d287(tHS_ZERO_NS=200,tHS_EXIT_NS=120,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125)	      24(24)	     0(0)	      9(9)	      46(46)	     0(0)	     0(0)	     0(0)	
    +genblk2.genblk1[3].tx_dlane_fsm_inst:dphy_tx_dlane_fsm_98c52b03a74a4ce095debab75db1d287(tLPX_NS=60,tHS_PREPARE_NS=50,tHS_EXIT_NS=120,tHS_ZERO_NS=200,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125)	      55(31)	     0(0)	    21(12)	     134(88)	     0(0)	     0(0)	     0(0)	
     +tx_hs_d_fsm_inst:dphy_tx_hs_d_fsm_98c52b03a74a4ce095debab75db1d287(tHS_ZERO_NS=200,tHS_EXIT_NS=120,tHS_TRAIL_NS=65,HS_BYTECLK_MHZ=125)	      24(24)	     0(0)	      9(9)	      46(46)	     0(0)	     0(0)	     0(0)	
   +efx_dsi_tx_top_inst:efx_dsi_tx_top_98c52b03a74a4ce095debab75db1d287(tINIT_NS=100000,ENABLE_INIT_SKEWCAL=0,ENABLE_EOTP=1'b0,HS_BYTECLK_MHZ=125,PACK_TYPE=1,ENABLE_V_LPM_BTA=1'b0,HS_CMD_WDATAFIFO_DEPTH=512,LP_CMD_WDATAFIFO_DEPTH=512,LP_CMD_RDATAFIFO_DEPTH=2048,HS_DATA_WIDTH=8)	    1614(35)	     0(0)	   357(17)	    2543(31)	     0(0)	    25(0)	     0(0)	
    +asyncreg_0:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
    +asyncreg_1:efx_asyncreg_98c52b03a74a4ce095debab75db1d287	        8(8)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
    +asyncreg_2:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
    +syncreg_4:efx_asyncreg_98c52b03a74a4ce095debab75db1d287	        8(8)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
    +tx_csr_inst:efx_dsi_tx_csr_98c52b03a74a4ce095debab75db1d287(HS_DATA_WIDTH=8,ENABLE_V_LPM_BTA=1'b0)	    745(202)	     0(0)	     59(0)	    471(100)	     0(0)	     4(0)	     0(0)	
     +asyncreg_0_0:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +asyncreg_0_1:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +asyncreg_0_2:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +asyncreg_0_3:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +asyncreg_0_4:efx_asyncreg_98c52b03a74a4ce095debab75db1d287	        8(8)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +asyncreg_0_5:efx_asyncreg_98c52b03a74a4ce095debab75db1d287	        8(8)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +asyncreg_0_6:efx_asyncreg_98c52b03a74a4ce095debab75db1d287	        8(8)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +asyncreg_0_7:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +asyncreg_7:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +asyncreg_8:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +asyncreg_9:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=32)	      32(32)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +asyncreg_11:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=32)	      32(32)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +asyncreg_12:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=32)	      32(32)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +asyncreg_13:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=8)	      16(16)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +asyncreg_14:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=8)	      16(16)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +asyncreg_15:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=8)	      16(16)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +asyncreg_16:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=16)	      32(32)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +asyncreg_17:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +asyncreg_18:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +asyncreg_21:efx_asyncreg_98c52b03a74a4ce095debab75db1d287	        8(8)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_25:efx_asyncreg_98c52b03a74a4ce095debab75db1d287	        8(8)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_30:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +cmd_driver_inst:efx_dsi_cmd_driver_98c52b03a74a4ce095debab75db1d287(ENABLE_V_LPM_BTA=1'b0)	      99(72)	     0(0)	    21(21)	    269(237)	     0(0)	     0(0)	     0(0)	
      +asyncreg_2:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +cmd_crc16_d8_gen_inst:efx_dsi_crc16_d8_gen_98c52b03a74a4ce095debab75db1d287	      25(25)	     0(0)	      0(0)	      32(32)	     0(0)	     0(0)	     0(0)	
     +lp_dcs_wfifo_inst:efx_fifo_top_98c52b03a74a4ce095debab75db1d287(MODE="FWFT",OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=0)	      104(0)	     0(0)	     19(0)	       51(0)	     0(0)	     2(0)	     0(0)	
      +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_98c52b03a74a4ce095debab75db1d287(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +active_high.efx_resetsync_active_high:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_98c52b03a74a4ce095debab75db1d287(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +active_high.efx_resetsync_active_high:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +xefx_fifo_ram:efx_fifo_ram_98c52b03a74a4ce095debab75db1d287(WDATA_WIDTH=32,RDATA_WIDTH=32,OUTPUT_REG=0,RAM_MUX_RATIO=1)	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     2(2)	     0(0)	
      +xefx_fifo_ctl:efx_fifo_ctl_98c52b03a74a4ce095debab75db1d287(SYNC_CLK=0,MODE="FWFT",ALMOST_FLAG=0,PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,HANDSHAKE_FLAG=0,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	     100(60)	     0(0)	    19(19)	      51(15)	     0(0)	     0(0)	     0(0)	
       +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_98c52b03a74a4ce095debab75db1d287(WIDTH=10)	        0(0)	     0(0)	      0(0)	        9(9)	     0(0)	     0(0)	     0(0)	
       +async_clk.xrd2wr_addr_sync:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=10,ACTIVE_LOW=0,OFF_ASSERTION=1)	      20(20)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_98c52b03a74a4ce095debab75db1d287(WIDTH=10)	        0(0)	     0(0)	      0(0)	        9(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_98c52b03a74a4ce095debab75db1d287(WIDTH=9)	        0(0)	     0(0)	      0(0)	        8(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_98c52b03a74a4ce095debab75db1d287(WIDTH=8)	        0(0)	     0(0)	      0(0)	        7(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_98c52b03a74a4ce095debab75db1d287(WIDTH=7)	        0(0)	     0(0)	      0(0)	        6(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_98c52b03a74a4ce095debab75db1d287(WIDTH=6)	        0(0)	     0(0)	      0(0)	        5(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_98c52b03a74a4ce095debab75db1d287	        0(0)	     0(0)	      0(0)	        4(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_98c52b03a74a4ce095debab75db1d287(WIDTH=4)	        0(0)	     0(0)	      0(0)	        3(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_98c52b03a74a4ce095debab75db1d287(WIDTH=3)	        0(0)	     0(0)	      0(0)	        2(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_98c52b03a74a4ce095debab75db1d287(WIDTH=2)	        0(0)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
       +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_98c52b03a74a4ce095debab75db1d287(WIDTH=10)	        0(0)	     0(0)	      0(0)	        9(9)	     0(0)	     0(0)	     0(0)	
       +async_clk.wr2rd_addr_sync:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=10,ACTIVE_LOW=0,OFF_ASSERTION=1)	      20(20)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_98c52b03a74a4ce095debab75db1d287(WIDTH=10)	        0(0)	     0(0)	      0(0)	        9(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_98c52b03a74a4ce095debab75db1d287(WIDTH=9)	        0(0)	     0(0)	      0(0)	        8(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_98c52b03a74a4ce095debab75db1d287(WIDTH=8)	        0(0)	     0(0)	      0(0)	        7(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_98c52b03a74a4ce095debab75db1d287(WIDTH=7)	        0(0)	     0(0)	      0(0)	        6(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_98c52b03a74a4ce095debab75db1d287(WIDTH=6)	        0(0)	     0(0)	      0(0)	        5(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_98c52b03a74a4ce095debab75db1d287	        0(0)	     0(0)	      0(0)	        4(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_98c52b03a74a4ce095debab75db1d287(WIDTH=4)	        0(0)	     0(0)	      0(0)	        3(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_98c52b03a74a4ce095debab75db1d287(WIDTH=3)	        0(0)	     0(0)	      0(0)	        2(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_98c52b03a74a4ce095debab75db1d287(WIDTH=2)	        0(0)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
     +hs_dcs_wfifo_inst:efx_fifo_top_98c52b03a74a4ce095debab75db1d287(MODE="FWFT",OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=0)	      104(0)	     0(0)	     19(0)	       51(0)	     0(0)	     2(0)	     0(0)	
      +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_98c52b03a74a4ce095debab75db1d287(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +active_high.efx_resetsync_active_high:efx_asyncreg_98c52b03a74a4ce095debab75db1d287(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
